min,mean,max
56,321.2,894
58,354.3,972
59,364.3,931
61,333.6,701
66,336.7,712
77,343.7,733
112,356.1,742
136,383.6,729
166,423.1,708
198,460.4,684
227,466.3,761
239,470.6,802
263,478.5,818
269,475.6,821
187,460.1,785
246,463.5,739
244,451.2,705
242,437.3,686
239,423.7,658
231,414.4,616
225,398.9,600
218,381.9,609
212,367.8,628
207,355.1,634
199,346.2,623
186,335.4,603
168,322.6,575
159,317.9,536
151,302.6,490
136,281.6,474
122,262.1,455
111,245.0,434
97,231.7,405
93,221.1,374
85,211.4,369
78,202.5,350
68,191.3,329
58,178.7,308
52,170.9,282
46,162.5,258
42,153.8,234
40,145.0,208
39,136.6,188
37,128.8,179
34,121.7,166
32,115.1,150
30,110.2,149
27,105.0,166
29,99.8,162
28,94.7,154
26,89.3,136
25,85.8,128
28,85.6,157
29,86.6,194
30,84.6,196
30,81.4,179
30,77.5,160
28,74.5,143
40,72.7,130
44,78.3,127
43,78.7,130
41,75.4,125
40,70.8,117
40,68.2,109
37,66.9,103
35,64.3,100
36,62.8,100
38,62.0,101
40,61.3,102
39,60.2,104
38,58.9,103
36,57.2,100
35,55.5,101
33,54.3,107
28,52.6,109
25,50.7,109
23,49.8,110
21,49.7,117
19,49.3,124
17,49.6,124
15,49.4,125
14,49.5,124
14,48.5,123
11,47.2,122
10,46.4,120
8,45.1,116
9,44.7,114
10,44.8,113
7,44.4,112
5,43.1,108
5,42.5,105
5,42.3,102
4,41.7,101
4,41.5,100
5,41.5,98
5,40.1,97
7,38.9,95
5,38.3,97
5,37.7,98
5,37.6,99
4,37.1,99
2,36.2,96
2,35.3,93
4,35.3,90
6,35.0,87
6,35.2,86
8,34.8,83
11,35.0,83
11,35.2,85
10,35.5,92
9,36.6,107
8,37.4,116
8,38.0,121
7,38.1,125
6,38.8,132
4,38.6,135
3,38.2,136
2,38.3,137
2,38.2,135
1,38.0,134
0,37.7,133
7,41.77777777777778,133
7,42.0,135
0,37.7,136
2,38.2,137
1,37.8,133
2,36.9,127
2,36.2,122
3,35.6,117
4,34.8,112
7,34.7,108
13,34.5,105
14,34.0,101
15,34.0,98
14,34.0,96
13,33.7,94
13,34.3,93
12,34.6,92
11,34.8,92
11,35.9,94
10,36.3,95
10,37.0,96
10,36.9,96
9,36.9,95
9,36.8,95
10,37.5,96
10,37.7,96
10,38.2,96
9,38.2,97
9,38.4,98
9,38.7,100
9,38.6,102
9,39.4,103
8,39.7,103
7,39.7,104
5,39.5,101
4,39.4,98
4,40.1,96
3,41.3,96
2,43.7,95
2,43.0,96
1,42.5,98
1,42.6,103
2,42.5,109
4,42.8,115
6,42.9,117
8,42.5,118
6,42.0,119
5,41.0,116
4,40.0,114
4,39.7,111
3,39.3,110
4,39.5,108
6,39.4,108
11,40.0,108
11,40.1,102
11,39.7,95
11,39.2,87
12,38.5,78
15,38.8,77
16,39.1,76
17,39.7,78
17,40.6,82
16,41.1,86
17,42.7,91
17,49.9,149
18,49.6,133
20,50.6,121
24,51.0,118
26,51.3,116
28,52.1,115
28,53.0,122
28,54.2,132
28,53.8,132
29,53.3,131
29,52.9,130
28,52.5,129
27,52.1,128
26,51.8,127
26,51.5,125
25,51.0,124
24,50.5,121
25,50.2,118
25,49.8,116
